6;45;9;-16;43;-99;SD;A1;a;;CMA;Sirius
6;23;57;-52;41;-72;SS;F0;a;;CAR;Canopus
14;15;40;19;11;-11;SS;K2;a;;BOO;Arcturus
5;2;29;41;5;0;SS;K5;z;;AUR;Capella
18;36;56;38;47;4;SD;A0;a;;LYR;Vega
5;16;41;46;0;6;SD;G8;z;;AUR;
5;14;32;-8;12;15;SD;B8;b;;ORI;Rigel
14;39;36;-60;50;33;SD;G2;a;;CEN;Rigil Kentaurus
7;39;18;5;14;36;SD;F5;a;;CMI;Procyon
1;37;42;-57;15;49;SS;B5;a;;ERI;Achernar
14;3;50;-60;22;61;SD;B1;b;;CEN;Hadar (Agena)
19;50;47;8;52;75;SD;A7;a;;AQL;Altair
12;26;36;-63;6;80;SD;B2;a;1;CRU;Acrux
5;55;10;7;24;80;SD;M2;a;;ORI;Betelgeuse
4;35;55;16;30;86;SD;K5;a;;TAU;Aldebaran
13;25;11;-11;9;97;SS;B1;a;;VIR;Spica
16;29;25;-26;26;108;SD;M1;a;;SCO;Antares
7;45;19;28;1;115;SD;K0;b;;GEM;Pollux
22;57;39;-29;37;115;SS;A3;a;;PSA;Fomalhaut
20;41;26;45;16;125;SD;A2;a;;CYG;Deneb
12;47;44;-59;42;127;SD;B0;b;;CRU;Mimosa
10;8;22;11;58;135;SD;B7;a;;LEO;Regulus
6;58;38;-28;58;150;SD;B2;e;;CMA;Adara
17;33;36;-37;6;162;SS;B1;l;;SCO;Shaula
5;25;8;6;21;163;SS;B2;g;;ORI;Bellatrix
5;26;17;28;36;165;SS;B7;b;;TAU;Alnath
12;31;10;-57;7;166;SD;M3;g;;CRU;
9;13;12;-69;43;168;SS;A1;b;;CAR;
5;36;12;-1;12;169;SS;B0;e;;ORI;Alnilam
22;8;14;-46;58;174;SD;B5;a;;GRU;
11;3;44;61;45;179;SD;K0;a;;UMA;Dubhe
12;54;2;55;57;179;SS;A0;e;;UMA;Alioth
3;24;20;49;51;180;SS;F5;a;;PER;Mirfak
18;24;10;-34;23;183;SD;B9;e;;SGR;Kaus Australis
8;9;32;-47;21;183;SD;C7;g;;VEL;
7;8;24;-26;24;184;SS;F8;d;;CMA;
17;37;19;-43;0;186;SS;F0;@;;SCO;
13;47;32;49;19;188;SS;B3;h;;UMA;Benetnasch
8;22;31;-59;30;188;SS;K0;e;;CAR;
5;59;32;44;57;190;SD;A2;b;;AUR;Menkalinan
10;19;59;19;51;190;SD;K0;g;1;LEO;
20;25;38;-56;44;192;SS;B3;a;;PAV;
6;37;43;16;24;193;SS;A0;g;;GEM;
16;48;40;-69;2;193;SS;K4;a;;TRA;
8;44;43;-54;43;195;SD;A0;d;;VEL;
6;22;42;-17;57;198;SS;B1;b;;CMA;Mirzam
9;27;35;-8;40;198;SS;K4;a;;HYA;
7;34;36;31;53;199;SD;A;a;;GEM;Castor
2;19;21;-2;59;200;SD;M6;o;;CET;Mira
15;59;30;25;55;200;SS;;;T;CRB;
2;7;10;23;27;201;SS;K2;a;;ARI;Hamal
0;43;35;-17;59;203;SS;K1;b;;CET;Diphda
2;31;13;89;15;204;SD;F8;a;;UMI;Polaris
5;40;46;-1;57;205;SD;O9;z;;ORI;
1;9;44;35;37;206;SD;M0;b;;AND;Mirach
5;47;46;-9;40;206;SS;B0;k;;ORI;
18;55;16;-26;18;206;SS;B2;s;;SGR;
0;8;23;29;5;207;SD;B8;a;;AND;Alpheratz
17;34;56;12;34;207;SS;A5;a;;OPH;Ras Alhague
14;6;41;-36;23;207;SS;K0;@;;CEN;
14;50;43;74;9;207;SS;K4;b;;UMI;Kocab
12;26;37;-63;6;209;SD;B3;a;2;CRU;
2;3;53;42;20;210;SD;K3;g;1;AND;
22;42;40;-46;53;210;SS;M3;b;;GRU;
11;49;4;14;34;213;SD;A3;b;;LEO;Denebola
3;8;11;40;57;215;SD;B8;b;;PER;Algol
12;41;31;-48;58;216;SD;A0;g;;CEN;
5;32;1;0;18;220;SD;O9;d;;ORI;Mintaka
20;22;13;40;15;221;SD;F8;g;;CYG;
0;40;31;56;32;222;SD;K0;a;;CAS;Schedar
17;56;36;51;29;223;SD;K5;g;;DRA;Rastaban
15;34;41;26;43;223;SS;A0;a;;CRB;Alphecca
9;8;0;-43;26;224;SD;K5;l;;VEL;
9;17;6;-59;16;225;SS;F0;i;;CAR;
8;3;35;-40;0;225;SS;O5;z;;PUP;
13;23;56;54;56;227;SD;A2;z;;UMA;Mizar
0;9;10;59;9;227;SD;F2;b;;CAS;Caph
13;39;53;-53;28;230;SD;B1;e;;CEN;
16;0;20;-22;37;230;SS;B0;d;;SCO;
16;50;10;-34;18;230;SS;K2;e;;SCO;
14;41;56;-47;24;231;SD;B2;a;;LUP;
14;35;30;-42;9;232;SD;B1;h;;CEN;
